#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
2373,J2330-2005,1.643622,4.63e-15,8.46,*,0.864,0.864,2.79e+12,
2374,J2333+6145,0.756899,1.18e-15,125.00,*,2.729,2.729,9.55e+11,
2375,J2337+6151,0.495370,1.93e-13,58.41,*,0.700,2.079,9.91e+12,
2376,J2338+4818,0.118710,1.97e-18,35.30,DD,2.013,2.013,1.55e+10,
2377,J2346-0609,1.181463,1.36e-15,22.61,*,3.500,25.000,1.28e+12,
2378,J2351+6500,1.164883,2.80e-14,154.29,*,3.090,3.090,5.78e+12,
2379,J2351+8533,1.011727,8.80e-16,38.20,*,2.593,2.593,9.55e+11,
2380,J2354+6155,0.944784,1.63e-14,94.66,*,2.400,2.399,3.97e+12,
2381,J2355+1523,1.094396,4.19e-16,26.00,*,3.444,3.444,6.85e+11,
2382,J2355+2246,1.840986,3.78e-15,23.10,*,2.163,2.163,2.67e+12,
